Participant,Training,Condition,Random #,ConditionID,SpringIndex,Spring #1,Spring #2,Switch X&Y?,Final X,Final Y,Final X Value,Final Y Value
8,,Hapkit Only,0.735495208,0,10,S,Q,No,Q,S,55,35
8,,Hapkit Only,0.776323916,0,11,S,Q,Yes,S,Q,35,55
8,,Hapkit Only,0.847096523,0,12,Q,W,Yes,Q,W,55,75
8,,Hapkit Only,0.862935485,0,13,Q,W,Yes,W,Q,75,55
8,,Hapkit Only,0.980911679,0,14,U,S,Yes,S,U,35,15
8,,Hapkit Only,0.982399213,0,15,S,Q,No,Q,S,55,35
9,,COUNTERBALANCE,0.011857651,0,,,,No,,,,
9,*,Hapkit + Graphics,0.140290744,1,0,S,U,No,S,U,35,15
9,,Hapkit + Graphics,0.063730707,1,1,U,S,No,U,S,15,35
9,,Hapkit + Graphics,0.188264206,1,2,U,S,No,U,S,15,35
9,,Hapkit + Graphics,0.237666034,1,3,U,S,No,U,S,15,35
9,,Hapkit + Graphics,0.339850802,1,4,S,Q,No,S,Q,35,55
9,,Hapkit + Graphics,0.352001322,1,5,Q,W,No,Q,W,55,75
9,,Hapkit + Graphics,0.436989294,1,6,S,Q,Yes,S,Q,35,55
9,,Hapkit + Graphics,0.542822466,1,7,Q,W,No,W,Q,75,55
9,,Hapkit + Graphics,0.552109361,1,8,Q,W,No,Q,W,55,75
9,,Hapkit + Graphics,0.60673315,1,9,U,S,No,S,U,35,15
9,,Hapkit + Graphics,0.69937194,1,10,S,Q,No,S,Q,35,55
9,,Hapkit + Graphics,0.800995922,1,11,Q,W,Yes,Q,W,55,75
9,,Hapkit + Graphics,0.864720403,1,12,U,S,Yes,S,U,35,15
9,,Hapkit + Graphics,0.864973061,1,13,S,Q,No,Q,S,55,35
9,,Hapkit + Graphics,0.952993885,1,14,S,Q,No,Q,S,55,35
9,,Hapkit + Graphics,0.971336131,1,15,Q,W,Yes,W,Q,75,55
9,*,Hapkit Only,0.329747293,0,0,W,Q,No,W,Q,75,55
9,,Hapkit Only,0.108271098,0,1,Q,W,No,Q,W,55,75
9,,Hapkit Only,0.128243878,0,2,S,Q,No,Q,S,55,35
9,,Hapkit Only,0.36873273,0,3,U,S,No,S,U,35,15
9,,Hapkit Only,0.377440785,0,4,S,Q,Yes,Q,S,55,35
9,,Hapkit Only,0.421881414,0,5,S,Q,Yes,Q,S,55,35
9,,Hapkit Only,0.440288008,0,6,U,S,No,S,U,35,15
9,,Hapkit Only,0.479969973,0,7,S,Q,No,Q,S,55,35
9,,Hapkit Only,0.548369239,0,8,S,Q,No,Q,S,55,35
